publication_number,publication_date,country_code,application_number,filing_date,grant_date,titulo,resumo,codigos_cpc
US-2024115991-A1,20240411,US,US-202318211668-A,20230620,0,Intelligent drying device for transformer,"An intelligent drying device for a transformer includes an air dehydrating device and a control device. The air dehydrating device is in air communication with a transformer, and includes a device body, a sensor, and a heater. The device body has a desiccant, and the sensor and the heater are disposed on the device body. The control device is connected to the air dehydrating device, and includes a display module. In use, the air dehydrating device can remove moisture from an air stream by the desiccant when the transformer is in an intake state, and can remove moisture from the desiccant by the heater when the transformer is in an exhaust state. The control device can determine a humidity status level to be displayed on the display module according to air humidity data obtained by the sensor.",H01F27/14; B01D53/261; B01D53/30; H01F27/02; B01D53/261; B01D53/30; H01F27/02; B01D53/30; B01D53/261
US-2024116843-A1,20240411,US,US-202218280356-A,20220307,0,Process for the preparation of vitamin k2 and novel intermediates,"A compound of formula (I): (I) wherein n is an integer between 0 and 10; Y is hydrogen, halide, mesylate, tosylate, ester, —SPh, —SO2Ph, hydroxyl or protected hydroxyl; with the proviso that if n=0 or 1, Y is not hydrogen.",C07C46/00; C07C50/22; C07C2602/10; C07C2603/86; C07C50/22; C07C46/00; C07C45/673; C07C45/68; C07C17/16; C07C2602/10; C07C2603/86; C07C2602/10; C07C2603/86; C07C50/22
US-2024121061-A1,20240411,US,US-202118553097-A,20210401,0,"Information transmission method, terminal device, base station, and storage medium","The present disclosure relates to the technical field of communications, and provides a method, apparatus, terminal device, base station, and storage medium for transmitting information. The method comprises: obtaining a target demodulation reference signal (DMRS) port associated with uplink PT-RS transmission, wherein the target DMRS port configured by a base station is used for PT-RS transmission of a PUSCH at a first transmission occasion; determining a corresponding target DMRS port used for transmitting a PT-RS at each subsequent transmission occasion, wherein one PT-RS port corresponds to one target DMRS port at each transmission occasion, the target DMRS port is comprised in a DMRS port group associated with the corresponding PT-RS port, and target DMRS ports corresponding to two adjacent transmission occasions are different; and mapping a PT-RS port to a corresponding target DMRS port at each transmission occasion for the PT-RS transmission.",H04L5/0051; H04W72/1268; H04W72/232; H04W72/51; H04L5/0051; H04W72/51; H04W72/232; H04W72/1268; H04L5/0051; H04L5/0094; H04L5/0048
US-2024121896-A1,20240411,US,US-202218065606-A,20221213,0,Circuit board with low grain boundary density and forming method thereof,"The present disclosure provides a circuit board including a first circuit layer, a dielectric layer on the first circuit layer, and a seed layer on the dielectric layer and directly contacting the first circuit layer, in which a top surface of the seed layer includes a levelled portion. The circuit board also includes a second circuit layer on the levelled portion of the seed layer, in which a grain boundary density of the second circuit layer is lower than that of a portion of the seed layer directly contacting the first circuit layer.",H05K1/112; H05K3/062; H05K3/4644; H05K1/112; H05K3/062; H05K3/4644; H05K3/108; H05K3/4661
US-2024123422-A1,20240418,US,US-202318394179-A,20231222,0,Synthetic fuel production system and related techniques,"A synthetic fuel production system and related techniques are disclosed. In accordance with some embodiments, the disclosed system may be configured to produce a liquid fuel using carbon dioxide extracted from the air and hydrogen generated from aqueous solutions by electrochemical means (e.g., water electrolysis). In production of the fuel, the disclosed system may be configured, in accordance with some embodiments, to react the carbon dioxide and hydrogen, for example, to form methanol. The disclosed system also may be configured, in accordance with some embodiments, to utilize one or more subsequent reaction steps to produce a given targeted set of hydrocarbons and partially oxidized hydrocarbons. For example, the disclosed system may be used to produce any one (or combination) of: ethanol; dimethyl ether; formic acid; formaldehyde; alkanes of various chain length; olefines; aliphatic and aromatic carbon compounds; and mixtures thereof, such as gasoline fuels, diesel fuels, and jet fuels.",B01J19/245; B01D53/62; B01D53/78; B01D53/965; C10G3/00; C10L1/06; C10L1/08; C25B1/04; C25B15/081; C25B15/087; B01D2257/504; B01J2219/0004; C10G2400/02; C10G2400/04; C10G2400/08; C10L2200/0423; C10L2200/043; C10L2200/0446; C10G3/00; B01J19/245; B01J2219/00045; C10G2/50; C10G2400/02; C10G2400/04; C10G2400/08; Y02P30/20; C25B1/04; C25B15/081; B01D53/62; B01D2257/504; B01D2258/05; B01D2251/304; B01D2251/306; B01D2251/606; B01D2251/604; B01D2252/10; B01D53/78; B01D2258/06; B01D53/18; B01D53/047; B01D53/1475; B01D2259/4508; B01D2259/4591; B01D53/229; B01D2256/22; Y02E60/36; B01D2257/504; C10L1/06; C10L1/08; B01D53/62; B01D53/78; C25B1/04; B01D53/965; C25B15/087; C25B15/081; C10G2400/02; C10L2200/0423; C10G2400/04; C10L2200/0446; C10G2400/08; C10L2200/043; B01J2219/0004; C10G3/00
US-2024123657-A1,20240418,US,US-202318397871-A,20231227,0,Continuous compression molding machines and methods of continuous compression molding a consolidated thermoplastic matrix composite material,"Continuous compression molding machines (CCMMs) and methods of continuous compression molding a consolidated thermoplastic matrix composite material are disclosed herein. The CCMMs include a mold, a heat zone heating structure, a consolidation zone heating structure, and a stress relaxation zone heating structure. The CCMMs also include a press structure, a demold structure, and a supply structure. The methods include providing a thermoplastic matrix composite material (TMCM) that includes a thermoplastic material to a CCMM. During the providing, the methods also include heating the TMCM within a heat zone of the CCMM, cooling and consolidating the TMCM within a consolidation zone of the CCMM, relaxing stress within the TMCM within a stress relaxation zone of the CCMM, demolding the TMCM within a demold zone of the CCMM at a mold temperature that is greater than a glass transition temperature of the thermoplastic material, and periodically compressing the TMCM.",B29C43/265; B29C43/44; B29C43/52; B29C70/50; B29K2995/0039; B29K2995/004; B29C43/52; B29C43/22; B29C43/265; B29C43/58; B29C43/44; B29C43/22; B29C2043/5816; B29C43/34; B29C43/52; B29C43/44; B29K2105/06; B29K2101/12; B29C2043/5808; B29C2043/5816; B29C2043/5875; B29C43/58; B29C2043/5833; B29C43/44; B29C43/52; B29C70/50; B29K2995/0039; B29K2995/004
US-2024130432-A1,20240425,US,US-202218278114-A,20220204,0,"Method, Computer Program, Power Supply And Aerosol Generating Device For Controlling Communication With One or More Extension Units","It is provided an extension unit (and correspondingly an aerosol generation device and system) for an aerosol generation device, the extension unit comprising a first connection interface, at a first end of the extension unit, that is connectable to the aerosol generation device. Further, the unit comprises means for enabling at least one additional functionality of the aerosol generation device, further to aerosol generation, when connected to the aerosol generation device.",A24F40/50; A24F40/65; G06F13/4282; A24F40/50; A24F40/65; A24F40/50; A24F40/65; A24F40/40; A24F40/60; A24F40/50; A24F40/40; A24F40/90; A24F40/65; G06F13/4282
US-2024130863-A1,20240425,US,US-202318489891-A,20231019,0,Systems and methods for knee arthroplasty,A patella implant for knee arthroplasty includes a cap and a base. The cap has an articulating surface and a plurality of first connection members. The base is to be attached to the backside of a patella of a patient. The base includes a cap support mounted to the cap. The cap support includes a plurality of first connection recesses. Each first connection member of the cap is disposed in a corresponding one of the first connection recesses of the cap support to mount the cap to the base.,A61F2/3877; A61F2/30771; A61F2/3094; A61F2/461; A61F2002/30322; A61F2002/30387; A61F2002/30784; A61F2002/30985; A61F2/3877; A61F2/3877; A61F2/30771; A61F2/3094; A61F2/461; A61F2002/30322; A61F2002/30387; A61F2002/30985; A61F2002/3092; A61F2002/30878; A61F2002/30827; A61F2002/3097; A61F2002/30957; A61F2002/30889; A61F2/389; A61F2002/30884; A61F2/30771; A61F2/3094; A61F2002/30985; A61F2002/30387; A61F2002/30784; A61F2002/30322; A61F2/461
US-2024132448-A1,20240425,US,US-202318518743-A,20231124,0,Organic compounds and uses thereof,"Disclosed are organic compounds including a structure of formula (I). The organic compound has a good rigid structure, so that the organic compound has good thermal stability, and high efficiency and the long lifetime of an OLED device are realized. Also provided are formulations containing the organic compounds, and at least one organic solvent. Further provided are organic electronic devices containing a functional layer, the functional layer comprises the organic compounds.",C07D209/86; H10K85/615; C07D209/86; C07B59/004; C07C15/38; C07C25/13; C07D213/24; C07D273/01; C07D307/91; C07D311/02; C07D333/76; C07D407/10; C07D493/04; H10K85/20; H10K85/622; H10K85/654; H10K85/6572; H10K85/6574; H10K85/6576; C07B2200/05; H10K85/615; Y02E10/549; C07D307/70; C09K11/06; H10K50/11; H10K85/654; H10K85/20; H10K85/6574; H10K85/622; H10K85/6576; H10K85/6572; C07B59/004; C07B2200/05; C07C15/38; C07C25/13; C07D213/24; C07D273/01; C07D307/91; C07D311/02; C07D333/76; C07D407/10; C07D493/04; C07D213/24; H10K85/6574; C07D307/91; H10K85/6572; C07D333/76; H10K85/654; H10K85/6576; C07D407/10; C07B59/004; C07D311/02; H10K85/622; H10K85/20; C07D273/01; C07D209/86; C07D493/04; H10K85/626; C07C15/38; C07C15/28
US-2024132560-A1,20240425,US,US-202218278377-A,20220313,0,Conditional degradation of proteins that are localized at the plasma membrane,"Provided herein is a fusion protein comprising: (a) an extracellular domain comprising a first binding moiety that is capable of specifically binding to a first cell surface marker: (b) a transmembrane domain: and (c) an intracellular domain comprising: i. a first dimerization domain that specifically binds to a corresponding target dimerization domain in a target protein: and ii. a degradation domain, wherein the degradation domain is a degron or E3 ligase-recruiting domain. Protein circuits. cells and methods that make use of the fusion protein are also provided.",A61K40/4242; A61K40/31; A61K40/11; A61K40/31; A61K40/11; A61K40/4242; C07K14/4703; C07K14/705; C07K2317/622; C07K2319/03; C07K2319/95; C07K14/705; C07K14/4703; C07K2319/00; C07K14/7051; C07K2319/03; C07K16/00; C07K2317/622; C07K14/4703; C07K14/705; C07K2317/622; C07K2319/03; C07K2319/95
